Date,SMA_Diff,Mov
31/12/2010,0,0
3/1/2011,0,1
4/1/2011,0,1
5/1/2011,0,1
6/1/2011,0,1
7/1/2011,0,1
10/1/2011,0,-1
11/1/2011,0,0
12/1/2011,0,-1
13/1/2011,0,-1
14/1/2011,0,-1
18/1/2011,0,-1
19/1/2011,0,-1
20/1/2011,0,1
21/1/2011,0,1
24/1/2011,0,1
25/1/2011,0,1
26/1/2011,0,1
27/1/2011,0,-1
28/1/2011,0,1
31/1/2011,-0.009400009,-1
1/2/2011,-0.020318183,1
2/2/2011,-0.033104352,-1
3/2/2011,-0.04921668,-1
4/2/2011,-0.077440023,-1
7/2/2011,-0.11139232,1
8/2/2011,-0.145077796,-1
9/2/2011,-0.167942882,1
10/2/2011,-0.19178624,1
11/2/2011,-0.209033362,-1
14/2/2011,-0.222987126,-1
15/2/2011,-0.237537521,1
16/2/2011,-0.229357606,-1
17/2/2011,-0.211800042,-1
18/2/2011,-0.200685743,-1
22/2/2011,-0.210433348,-1
23/2/2011,-0.223154057,1
24/2/2011,-0.234089466,1
25/2/2011,-0.242041025,1
28/2/2011,-0.239750003,1
1/3/2011,-0.23827318,1
2/3/2011,-0.234623824,1
3/3/2011,-0.229574432,1
4/3/2011,-0.218245465,-1
7/3/2011,-0.205188897,-1
8/3/2011,-0.189739125,1
9/3/2011,-0.188125521,-1
10/3/2011,-0.177824998,1
11/3/2011,-0.167363262,-1
14/3/2011,-0.162199998,-1
15/3/2011,-0.148779998,-1
16/3/2011,-0.133779989,-1
17/3/2011,-0.137539997,1
18/3/2011,-0.128459983,-1
21/3/2011,-0.112359986,-1
22/3/2011,-0.084959989,1
23/3/2011,-0.056199999,1
24/3/2011,-0.039679994,1
25/3/2011,-0.031439991,1
28/3/2011,-0.025959983,1
29/3/2011,-0.018839989,-1
30/3/2011,-0.014219985,1
31/3/2011,0.004800015,-1
1/4/2011,0.005740023,-1
4/4/2011,0.00348002,1
5/4/2011,0.015040011,-1
6/4/2011,0.025500016,1
7/4/2011,0.047840009,-1
8/4/2011,0.065760002,-1
11/4/2011,0.080919995,-1
12/4/2011,0.095719986,1
13/4/2011,0.112739982,1
14/4/2011,0.131239991,1
15/4/2011,0.149639993,-1
18/4/2011,0.166359992,1
19/4/2011,0.187699981,1
20/4/2011,0.218059983,1
21/4/2011,0.248039984,-1
25/4/2011,0.271759973,1
26/4/2011,0.293839975,1
27/4/2011,0.309439978,1
28/4/2011,0.329659972,-1
29/4/2011,0.316679964,-1
2/5/2011,0.309179964,-1
3/5/2011,0.304819975,-1
4/5/2011,0.285439963,-1
5/5/2011,0.266499977,1
6/5/2011,0.246939974,1
9/5/2011,0.243939977,1
10/5/2011,0.256779975,-1
11/5/2011,0.268459988,1
12/5/2011,0.28125998,-1
13/5/2011,0.292599997,-1
16/5/2011,0.296199989,-1
17/5/2011,0.301419983,1
18/5/2011,0.306559982,1
19/5/2011,0.317139969,-1
20/5/2011,0.313599964,-1
23/5/2011,0.306899967,-1
24/5/2011,0.290919957,1
25/5/2011,0.285799966,1
26/5/2011,0.277359962,1
27/5/2011,0.269899954,1
31/5/2011,0.268079963,-1
1/6/2011,0.261419959,1
2/6/2011,0.255839968,1
3/6/2011,0.261059961,-1
6/6/2011,0.251379967,-1
7/6/2011,0.233499975,-1
8/6/2011,0.205919976,1
9/6/2011,0.196619978,1
10/6/2011,0.181919985,1
13/6/2011,0.187999973,1
14/6/2011,0.200239954,-1
15/6/2011,0.207879963,-1
16/6/2011,0.210179973,0
17/6/2011,0.193139982,-1
20/6/2011,0.178459992,1
21/6/2011,0.181399999,-1
22/6/2011,0.178540001,1
23/6/2011,0.153599992,-1
24/6/2011,0.123939996,-1
27/6/2011,0.093760004,1
28/6/2011,0.063340021,1
29/6/2011,0.048000021,1
30/6/2011,0.035820036,-1
1/7/2011,0.011640034,1
5/7/2011,0.006440048,-1
6/7/2011,0.002060051,1
7/7/2011,0.016960068,-1
8/7/2011,0.02194006,-1
11/7/2011,0.024080062,-1
12/7/2011,0.019200063,1
13/7/2011,0.014840074,-1
14/7/2011,0.014780058,-1
15/7/2011,0.02202004,-1
18/7/2011,0.026160035,1
19/7/2011,0.041880025,1
20/7/2011,0.050360017,1
21/7/2011,0.063780012,1
22/7/2011,0.070700016,-1
25/7/2011,0.076620016,-1
26/7/2011,0.080220013,-1
27/7/2011,0.071360001,1
28/7/2011,0.061319995,0
29/7/2011,0.044439978,1
1/8/2011,0.039659987,-1
2/8/2011,0.024179978,-1
3/8/2011,0.005059986,-1
4/8/2011,-0.036860028,-1
5/8/2011,-0.06360003,-1
8/8/2011,-0.087340031,1
9/8/2011,-0.100480023,-1
10/8/2011,-0.123400035,1
11/8/2011,-0.133620029,1
12/8/2011,-0.136520018,-1
15/8/2011,-0.130920029,-1
16/8/2011,-0.138420043,-1
17/8/2011,-0.156860047,-1
18/8/2011,-0.189820033,-1
19/8/2011,-0.238440018,-1
22/8/2011,-0.280200019,1
23/8/2011,-0.308720016,1
24/8/2011,-0.327500009,-1
25/8/2011,-0.36125999,1
26/8/2011,-0.394579982,1
29/8/2011,-0.428019991,-1
30/8/2011,-0.449599981,1
31/8/2011,-0.463039985,-1
1/9/2011,-0.457699971,-1
2/9/2011,-0.450839982,-1
6/9/2011,-0.439319997,1
7/9/2011,-0.437039995,-1
8/9/2011,-0.421139984,-1
9/9/2011,-0.423159985,-1
12/9/2011,-0.432459979,1
13/9/2011,-0.434199972,1
14/9/2011,-0.432599959,1
15/9/2011,-0.42613995,1
16/9/2011,-0.395019965,-1
19/9/2011,-0.348159972,1
20/9/2011,-0.298199959,-1
21/9/2011,-0.26001996,-1
22/9/2011,-0.230379967,1
23/9/2011,-0.192759981,-1
26/9/2011,-0.166619973,1
27/9/2011,-0.147659969,-1
28/9/2011,-0.134859967,-1
29/9/2011,-0.12277997,1
30/9/2011,-0.101639991,-1
3/10/2011,-0.072799992,-1
4/10/2011,-0.046279989,1
5/10/2011,-0.02046,1
6/10/2011,0.015759997,1
7/10/2011,0.060679994,1
10/10/2011,0.111839986,-1
11/10/2011,0.151779985,1
12/10/2011,0.184539981,1
