Date,SMA_Diff,SP_Diff,Mov
31/12/2010,0,0,D
3/1/2011,0,-1.670043945,U
4/1/2011,0,6.360107422,U
5/1/2011,0,-2.710083008,U
6/1/2011,0,-2.349975586,U
7/1/2011,0,-1.75,U
10/1/2011,0,4.729980469,D
11/1/2011,0,11.47998047,D
12/1/2011,0,-2.199951172,D
13/1/2011,0,9.479980469,D
14/1/2011,0,1.780029297,D
18/1/2011,0,-13.09997559,D
19/1/2011,0,-1.66003418,D
20/1/2011,0,3.08996582,U
21/1/2011,0,7.489990234,U
24/1/2011,0,0.340087891,U
25/1/2011,0,5.449951172,U
26/1/2011,0,2.91003418,U
27/1/2011,0,-23.20007324,D
28/1/2011,0,9.780029297,U
31/1/2011,-0.009400009,21.4699707,D
1/2/2011,-0.020318183,-3.559936523,U
2/2/2011,-0.033104352,3.069946289,D
3/2/2011,-0.04921668,3.770019531,D
4/2/2011,-0.077440023,8.180053711,D
7/2/2011,-0.11139232,5.519897461,U
8/2/2011,-0.145077796,-3.689941406,D
9/2/2011,-0.167942882,0.989990234,U
10/2/2011,-0.19178624,7.280029297,U
11/2/2011,-0.209033362,3.169921875,D
14/2/2011,-0.222987126,-4.309936523,D
15/2/2011,-0.237537521,8.309936523,U
16/2/2011,-0.229357606,4.110107422,D
17/2/2011,-0.211800042,2.579956055,D
18/2/2011,-0.200685743,-27.57006836,D
22/2/2011,-0.210433348,-8.039916992,D
23/2/2011,-0.223154057,-1.300048828,U
24/2/2011,-0.234089466,13.7800293,U
25/2/2011,-0.242041025,7.33996582,U
28/2/2011,-0.239750003,-20.89001465,U
1/3/2011,-0.23827318,2.109985352,U
2/3/2011,-0.234623824,22.5300293,U
3/3/2011,-0.229574432,-9.819946289,U
4/3/2011,-0.218245465,-11.02001953,D
7/3/2011,-0.205188897,11.68994141,D
8/3/2011,-0.189739125,-1.799926758,U
9/3/2011,-0.188125521,-24.91003418,D
10/3/2011,-0.177824998,9.170043945,U
11/3/2011,-0.167363262,-7.890014648,D
14/3/2011,-0.162199998,-14.52001953,D
15/3/2011,-0.148779998,-24.98999023,D
16/3/2011,-0.133779989,16.83996582,D
17/3/2011,-0.137539997,5.489990234,U
18/3/2011,-0.128459983,19.17004395,D
21/3/2011,-0.112359986,-4.609985352,D
22/3/2011,-0.084959989,3.770019531,U
23/3/2011,-0.056199999,12.11999512,U
24/3/2011,-0.039679994,4.140014648,U
25/3/2011,-0.031439991,-3.610107422,U
28/3/2011,-0.025959983,9.25,U
29/3/2011,-0.018839989,8.820068359,D
30/3/2011,-0.014219985,-2.430053711,U
31/3/2011,0.004800015,6.580078125,D
1/4/2011,0.005740023,0.459960938,D
4/4/2011,0.00348002,-0.239990234,U
5/4/2011,0.015040011,2.91003418,D
6/4/2011,0.025500016,-2.030029297,U
7/4/2011,0.047840009,-5.33996582,D
8/4/2011,0.065760002,-3.710083008,D
11/4/2011,0.080919995,-10.29992676,D
12/4/2011,0.095719986,0.25,U
13/4/2011,0.112739982,0.109985352,U
14/4/2011,0.131239991,5.16003418,U
15/4/2011,0.149639993,-14.54003906,D
18/4/2011,0.166359992,7.479980469,U
19/4/2011,0.187699981,17.73999023,U
20/4/2011,0.218059983,7.020019531,U
21/4/2011,0.248039984,-2.130004883,D
25/4/2011,0.271759973,11.98999023,U
26/4/2011,0.293839975,8.420043945,U
27/4/2011,0.309439978,4.819946289,U
28/4/2011,0.329659972,3.130004883,D
29/4/2011,0.316679964,-2.390014648,D
2/5/2011,0.309179964,-4.599975586,D
3/5/2011,0.304819975,-9.300048828,D
4/5/2011,0.285439963,-12.2199707,D
5/5/2011,0.266499977,5.099975586,U
6/5/2011,0.246939974,6.090087891,U
9/5/2011,0.243939977,10.86999512,U
10/5/2011,0.256779975,-15.08007813,D
11/5/2011,0.268459988,6.570068359,U
12/5/2011,0.28125998,-10.88000488,D
13/5/2011,0.292599997,-8.300048828,D
16/5/2011,0.296199989,-0.489990234,D
17/5/2011,0.301419983,11.70007324,U
18/5/2011,0.306559982,2.919921875,U
19/5/2011,0.317139969,-10.32995605,D
20/5/2011,0.313599964,-15.90002441,D
23/5/2011,0.306899967,-1.08996582,D
24/5/2011,0.290919957,4.189941406,U
25/5/2011,0.285799966,5.219970703,U
26/5/2011,0.277359962,5.41003418,U
27/5/2011,0.269899954,14.09997559,U
31/5/2011,0.268079963,-30.64990234,D
1/6/2011,0.261419959,-1.610107422,U
2/6/2011,0.255839968,-12.77990723,U
3/6/2011,0.261059961,-13.98999023,D
6/6/2011,0.251379967,-1.230102539,D
7/6/2011,0.233499975,-5.379882813,D
8/6/2011,0.205919976,9.439941406,U
9/6/2011,0.196619978,-18.02001953,U
10/6/2011,0.181919985,0.849975586,U
13/6/2011,0.187999973,16.04003906,U
14/6/2011,0.200239954,-22.44995117,D
15/6/2011,0.207879963,2.219970703,D
16/6/2011,0.210179973,3.859985352,D
17/6/2011,0.193139982,6.859985352,D
20/6/2011,0.178459992,17.16003418,U
21/6/2011,0.181399999,-8.380004883,D
22/6/2011,0.178540001,-3.640014648,U
23/6/2011,0.153599992,-15.05004883,D
24/6/2011,0.123939996,11.65002441,D
27/6/2011,0.093760004,16.57006836,U
28/6/2011,0.063340021,10.73999023,U
29/6/2011,0.048000021,13.22998047,U
30/6/2011,0.035820036,19.0300293,D
1/7/2011,0.011640034,-1.790039063,U
5/7/2011,0.006440048,1.33996582,D
6/7/2011,0.002060051,14,U
7/7/2011,0.016960068,-9.419921875,D
8/7/2011,0.02194006,-24.31005859,D
11/7/2011,0.024080062,-5.849975586,D
12/7/2011,0.019200063,4.079956055,U
13/7/2011,0.014840074,-8.849975586,D
14/7/2011,0.014780058,7.270019531,D
15/7/2011,0.02202004,-10.70007324,D
18/7/2011,0.026160035,21.29003906,U
19/7/2011,0.041880025,-0.890014648,U
20/7/2011,0.050360017,17.96008301,U
21/7/2011,0.063780012,1.219970703,U
22/7/2011,0.070700016,-7.58996582,D
25/7/2011,0.076620016,-5.490112305,D
26/7/2011,0.080220013,-27.04992676,D
27/7/2011,0.071360001,-4.219970703,U
28/7/2011,0.061319995,-8.390014648,D
29/7/2011,0.044439978,-5.340087891,U
1/8/2011,0.039659987,-32.88989258,D
2/8/2011,0.024179978,6.289916992,D
3/8/2011,0.005059986,-60.27001953,D
4/8/2011,-0.036860028,-0.689941406,D
5/8/2011,-0.06360003,-79.92004395,D
