Date,SMA_Diff,SP_Diff,NDX Price_Diff,Mov
31/12/2010,0,0,0,D
3/1/2011,0,-1.670043945,-2.770019531,U
4/1/2011,0,6.360107422,18.93994141,U
5/1/2011,0,-2.710083008,7.110107422,U
6/1/2011,0,-2.349975586,-0.810058594,U
7/1/2011,0,-1.75,7.679931641,U
10/1/2011,0,4.729980469,4.350097656,D
11/1/2011,0,11.47998047,16.14990234,D
12/1/2011,0,-2.199951172,0.650146484,D
13/1/2011,0,9.479980469,17.89990234,D
14/1/2011,0,1.780029297,5.360107422,D
18/1/2011,0,-13.09997559,-25.4699707,D
19/1/2011,0,-1.66003418,-17.23999023,D
20/1/2011,0,3.08996582,-17.76000977,U
21/1/2011,0,7.489990234,32.06982422,U
24/1/2011,0,0.340087891,3.640136719,U
25/1/2011,0,5.449951172,10.15991211,U
26/1/2011,0,2.91003418,15.88012695,U
27/1/2011,0,-23.20007324,-59.56005859,D
28/1/2011,0,9.780029297,11.39990234,U
31/1/2011,0,21.4699707,43.04003906,D
1/2/2011,0,-3.559936523,-3.859863281,U
2/2/2011,0,3.069946289,1.979980469,D
3/2/2011,0,3.770019531,15.12988281,D
4/2/2011,0,8.180053711,11,D
7/2/2011,0,5.519897461,14.41015625,U
8/2/2011,0,-3.689941406,-2.66015625,D
9/2/2011,0,0.989990234,3.400146484,U
10/2/2011,0,7.280029297,14.79980469,U
11/2/2011,0,3.169921875,6.450195313,D
14/2/2011,0,-4.309936523,-3.680175781,D
15/2/2011,0,8.309936523,16.02001953,U
16/2/2011,0,4.110107422,-0.369873047,D
17/2/2011,0,2.579956055,-5.100097656,D
18/2/2011,0,-27.57006836,-69.60986328,D
22/2/2011,0,-8.039916992,-21.92016602,D
23/2/2011,0,-1.300048828,12.37011719,U
24/2/2011,0,13.7800293,32.97998047,U
25/2/2011,0,7.33996582,4.699951172,U
28/2/2011,0,-20.89001465,-35.72998047,U
1/3/2011,0,2.109985352,11.51000977,U
2/3/2011,0,22.5300293,44.98999023,U
3/3/2011,0,-9.819946289,-11.80004883,U
4/3/2011,0,-11.02001953,-31.88989258,D
7/3/2011,0,11.68994141,9.479980469,D
8/3/2011,0,-1.799926758,-14.86010742,U
9/3/2011,0,-24.91003418,-38.39990234,D
10/3/2011,0,9.170043945,14.9699707,U
11/3/2011,0,-7.890014648,-8.540039063,D
14/3/2011,0,-14.52001953,-31.09985352,D
15/3/2011,0,-24.98999023,-56.65014648,D
16/3/2011,0,16.83996582,22.27001953,D
17/3/2011,0,5.489990234,-4.169921875,U
18/3/2011,0,19.17004395,41.62988281,D
21/3/2011,0,-4.609985352,-4.739990234,D
22/3/2011,0,3.770019531,12.54003906,U
23/3/2011,0,12.11999512,41.59008789,U
24/3/2011,0,4.140014648,4.270019531,U
25/3/2011,0,-3.610107422,-13.26000977,U
28/3/2011,0,9.25,22.43994141,U
29/3/2011,0,8.820068359,10.97998047,D
30/3/2011,0,-2.430053711,2.469970703,U
31/3/2011,0,6.580078125,3.929931641,D
1/4/2011,0,0.459960938,-8.379882813,D
4/4/2011,0,-0.239990234,-6.669921875,U
5/4/2011,-0.007005131,2.91003418,4.469970703,D
6/4/2011,-0.013783238,-2.030029297,0.539794922,U
7/4/2011,-0.020425794,-5.33996582,-11.69995117,D
8/4/2011,-0.027451064,-3.710083008,-6.679931641,D
11/4/2011,-0.037804403,-10.29992676,-16.19995117,D
12/4/2011,-0.049361218,0.25,18.32983398,U
13/4/2011,-0.061466244,0.109985352,-5.379882813,U
14/4/2011,-0.068880935,5.16003418,-3.669921875,U
15/4/2011,-0.076081923,-14.54003906,-15.23999023,D
18/4/2011,-0.08115283,7.479980469,14.42993164,U
19/4/2011,-0.084682602,17.73999023,50.98999023,U
20/4/2011,-0.08754646,7.020019531,19.54003906,U
21/4/2011,-0.084866677,-2.130004883,6.419921875,D
25/4/2011,-0.07789602,11.98999023,12.31005859,U
26/4/2011,-0.071790393,8.420043945,17.56005859,U
27/4/2011,-0.069910357,4.819946289,-3.690185547,U
28/4/2011,-0.068096438,3.130004883,-5.819824219,D
29/4/2011,-0.066360704,-2.390014648,0.159912109,D
2/5/2011,-0.065084985,-4.599975586,-11.43994141,D
3/5/2011,-0.061276022,-9.300048828,-5.290039063,D
4/5/2011,-0.057763156,-12.2199707,-12.30004883,D
5/5/2011,-0.053757744,5.099975586,7.969970703,U
6/5/2011,-0.049211898,6.090087891,7.790039063,U
9/5/2011,-0.042938988,10.86999512,20.38012695,U
10/5/2011,-0.035630776,-15.08007813,-18.27001953,D
11/5/2011,-0.028061543,6.570068359,14.80981445,U
12/5/2011,-0.024216724,-10.88000488,-28.64990234,D
13/5/2011,-0.016416876,-8.300048828,-41.38989258,D
16/5/2011,-0.009431427,-0.489990234,5.659912109,D
17/5/2011,-0.003088264,11.70007324,19.43994141,U
18/5/2011,0.004207044,2.919921875,6.719970703,U
19/5/2011,0.014175728,-10.32995605,-18.23999023,D
20/5/2011,0.018223854,-15.90002441,-34.64990234,D
23/5/2011,0.024653297,-1.08996582,-13.22998047,D
24/5/2011,0.032336915,4.189941406,7.399902344,U
25/5/2011,0.046593441,5.219970703,14.97998047,U
26/5/2011,0.06168053,5.41003418,10.16015625,U
27/5/2011,0.074857342,14.09997559,36.44995117,U
31/5/2011,0.085553829,-30.64990234,-50.06005859,D
1/6/2011,0.09366885,-1.610107422,4.219970703,U
2/6/2011,0.102031332,-12.77990723,-34.38989258,U
3/6/2011,0.111923205,-13.98999023,-17.83007813,D
6/6/2011,0.119182031,-1.230102539,-5.520019531,D
7/6/2011,0.124327434,-5.379882813,-16.07006836,D
8/6/2011,0.128027954,9.439941406,3.760009766,U
9/6/2011,0.133281754,-18.02001953,-35.55981445,U
10/6/2011,0.138729654,0.849975586,1.189941406,U
13/6/2011,0.147181739,16.04003906,28.06005859,U
14/6/2011,0.155764351,-22.44995117,-41.33007813,D
15/6/2011,0.165250815,2.219970703,-9.080078125,D
16/6/2011,0.174603426,3.859985352,-6.969970703,D
17/6/2011,0.184382883,6.859985352,11.40014648,D
20/6/2011,0.193542093,17.16003418,47.45996094,U
21/6/2011,0.204373607,-8.380004883,-16.07006836,D
22/6/2011,0.215515365,-3.640014648,19.30004883,U
23/6/2011,0.229074356,-15.05004883,-37.98999023,D
24/6/2011,0.242426711,11.65002441,35.17993164,D
27/6/2011,0.25530129,16.57006836,33.51000977,U
28/6/2011,0.267882109,10.73999023,8.679931641,U
29/6/2011,0.279252897,13.22998047,30.64013672,U
30/6/2011,0.289879097,19.0300293,36.31982422,D
1/7/2011,0.301071325,-1.790039063,9.820068359,U
5/7/2011,0.300094923,1.33996582,7.370117188,D
6/7/2011,0.302279043,14,34.30981445,U
7/7/2011,0.308276899,-9.419921875,-7,D
8/7/2011,0.310263274,-24.31005859,-43.88989258,D
11/7/2011,0.312245665,-5.849975586,-18.20996094,D
12/7/2011,0.311693441,4.079956055,8.639892578,U
13/7/2011,0.314244526,-8.849975586,-27.36987305,D
14/7/2011,0.318966362,7.270019531,31.60986328,D
15/7/2011,0.325584144,-10.70007324,-12.65991211,D
18/7/2011,0.330809414,21.29003906,54.15991211,U
19/7/2011,0.336489615,-0.890014648,-10.36987305,U
20/7/2011,0.342166444,17.96008301,16.43994141,U
21/7/2011,0.34960767,1.219970703,25.26000977,U
22/7/2011,0.357682026,-7.58996582,-5.350097656,D
25/7/2011,0.362671479,-5.490112305,5.300048828,D
26/7/2011,0.363840531,-27.04992676,-62.29003906,D
27/7/2011,0.365516425,-4.219970703,4.610107422,U
28/7/2011,0.366460446,-8.390014648,-8.959960938,D
29/7/2011,0.366982265,-5.340087891,-8.760009766,U
1/8/2011,0.366787829,-32.88989258,-61.19995117,D
2/8/2011,0.36435922,6.289916992,19.92993164,D
3/8/2011,0.362171165,-60.27001953,-105.5800781,D
4/8/2011,0.357514841,-0.689941406,-12.82006836,D
5/8/2011,0.352493911,-79.92004395,-134.0898438,D
8/8/2011,0.347152402,53.07006836,100.5,U
9/8/2011,0.342188815,-51.77001953,-87.69995117,D
10/8/2011,0.332571608,51.88000488,93.97998047,U
11/8/2011,0.32426797,6.170043945,14.97998047,U
12/8/2011,0.321641006,25.67993164,32.07006836,D
15/8/2011,0.31702732,-11.72998047,-19.85009766,D
16/8/2011,0.312549731,1.130004883,-12.64990234,D
17/8/2011,0.310504277,-53.23999023,-108.5900879,D
18/8/2011,0.307555744,-17.11999512,-34.81005859,D
19/8/2011,0.29978287,0.289916992,6.510009766,D
22/8/2011,0.28561498,38.5300293,84.54003906,U
23/8/2011,0.273961092,15.25,15.77001953,U
24/8/2011,0.267490038,-18.32995605,-36.83007813,D
25/8/2011,0.259877841,17.5300293,53.76000977,U
26/8/2011,0.246430383,33.27990723,61.98999023,U
29/8/2011,0.233253785,2.840087891,13.72998047,D
30/8/2011,0.219693028,5.969970703,3.320068359,U
31/8/2011,0.204506498,-14.4699707,-21.95996094,D
1/9/2011,0.192881439,-30.45007324,-51.2199707,D
2/9/2011,0.178717401,-8.729980469,-0.229980469,D
6/9/2011,0.160050258,33.38000488,56.14990234,U
7/9/2011,0.147471938,-12.7199707,-9.459960938,D
8/9/2011,0.135438372,-31.67004395,-50.63012695,D
9/9/2011,0.125983298,8.040039063,28.18017578,D
12/9/2011,0.114777448,10.59997559,28.73999023,U
13/9/2011,0.105131334,15.81005859,32.16992188,U
14/9/2011,0.094216942,20.42993164,33.81005859,U
15/9/2011,0.083701425,6.900024414,19.5300293,U
16/9/2011,0.079038464,-11.92004395,2.669921875,D
19/9/2011,0.076839267,-2,-12.87011719,U
20/9/2011,0.075114282,-35.32995605,-37.58984375,D
21/9/2011,0.07458192,-37.19995117,-73.70996094,D
22/9/2011,0.068935277,6.869995117,22.27001953,U
23/9/2011,0.065767978,26.51989746,27.41992188,D
26/9/2011,0.059347393,12.43005371,19.27001953,U
27/9/2011,0.054699135,-24.31994629,-32.70996094,D
